date,cash,shares,close,market_value,equity
2021-06-29,100000.0,0,259.71,0.0,100000.0
2021-06-30,100000.0,0,259.19,0.0,100000.0
2021-07-01,100000.0,0,280.51,0.0,100000.0
2021-07-02,100000.0,0,249.62,0.0,100000.0
2021-07-05,100000.0,0,252.6,0.0,100000.0
2021-07-06,100000.0,0,250.71,0.0,100000.0
2021-07-07,100000.0,0,254.72,0.0,100000.0
2021-07-08,100000.0,0,264.7,0.0,100000.0
2021-07-09,100000.0,0,252.43,0.0,100000.0
2021-07-12,100000.0,0,297.72,0.0,100000.0
2021-07-13,100000.0,0,305.61,0.0,100000.0
2021-07-14,100000.0,0,286.03,0.0,100000.0
2021-07-15,100000.0,0,299.71,0.0,100000.0
2021-07-16,100000.0,0,284.71,0.0,100000.0
2021-07-19,100000.0,0,283.0,0.0,100000.0
2021-07-20,100000.0,0,271.75,0.0,100000.0
2021-07-21,100000.0,0,274.69,0.0,100000.0
2021-07-22,100000.0,0,279.89,0.0,100000.0
2021-07-23,100000.0,0,266.0,0.0,100000.0
2021-07-26,100000.0,0,265.01,0.0,100000.0
2021-07-27,100000.0,0,253.81,0.0,100000.0
2021-07-28,100000.0,0,246.21,0.0,100000.0
2021-07-29,100000.0,0,245.78,0.0,100000.0
2021-07-30,100000.0,0,241.71,0.0,100000.0
2021-08-02,100000.0,0,249.06,0.0,100000.0
2021-08-03,100000.0,0,259.09,0.0,100000.0
2021-08-04,100000.0,0,255.87,0.0,100000.0
2021-08-05,100000.0,0,248.45,0.0,100000.0
2021-08-06,100000.0,0,244.27,0.0,100000.0
2021-08-09,100000.0,0,252.51,0.0,100000.0
2021-08-10,100000.0,0,257.02,0.0,100000.0
2021-08-11,100000.0,0,252.71,0.0,100000.0
2021-08-12,100000.0,0,253.71,0.0,100000.0
2021-08-13,100000.0,0,254.96,0.0,100000.0
2021-08-16,100000.0,0,259.68,0.0,100000.0
2021-08-17,100000.0,0,259.71,0.0,100000.0
2021-08-18,100000.0,0,268.59,0.0,100000.0
2021-08-19,100000.0,0,263.61,0.0,100000.0
2021-08-20,100000.0,0,282.71,0.0,100000.0
2021-08-23,100000.0,0,289.71,0.0,100000.0
2021-08-24,100000.0,0,280.72,0.0,100000.0
2021-08-25,100000.0,0,275.7,0.0,100000.0
2021-08-26,100000.0,0,273.71,0.0,100000.0
2021-08-27,100000.0,0,273.21,0.0,100000.0
2021-08-30,100000.0,0,278.17,0.0,100000.0
2021-08-31,100000.0,0,272.11,0.0,100000.0
2021-09-01,100000.0,0,270.21,0.0,100000.0
2021-09-02,100000.0,0,255.74,0.0,100000.0
2021-09-03,100000.0,0,248.71,0.0,100000.0
2021-09-06,100000.0,0,249.7,0.0,100000.0
2021-09-07,100000.0,0,252.89,0.0,100000.0
2021-09-08,100000.0,0,246.69,0.0,100000.0
2021-09-09,100000.0,0,247.39,0.0,100000.0
2021-09-10,100000.0,0,244.71,0.0,100000.0
2021-09-13,100000.0,0,239.71,0.0,100000.0
2021-09-14,100000.0,0,238.4,0.0,100000.0
2021-09-15,100000.0,0,226.21,0.0,100000.0
2021-09-16,100000.0,0,225.98,0.0,100000.0
2021-09-17,100000.0,0,226.61,0.0,100000.0
2021-09-22,100000.0,0,234.02,0.0,100000.0
2021-09-23,100000.0,0,231.76,0.0,100000.0
2021-09-24,100000.0,0,231.96,0.0,100000.0
2021-09-27,100000.0,0,234.16,0.0,100000.0
2021-09-28,100000.0,0,229.67,0.0,100000.0
2021-09-29,100000.0,0,225.68,0.0,100000.0
2021-09-30,100000.0,0,234.31,0.0,100000.0
2021-10-08,100000.0,0,233.01,0.0,100000.0
2021-10-11,100000.0,0,231.71,0.0,100000.0
2021-10-12,100000.0,0,236.26,0.0,100000.0
2021-10-13,100000.0,0,237.07,0.0,100000.0
2021-10-14,100000.0,0,233.97,0.0,100000.0
2021-10-15,100000.0,0,241.59,0.0,100000.0
2021-10-18,100000.0,0,232.71,0.0,100000.0
2021-10-19,100000.0,0,228.21,0.0,100000.0
2021-10-20,100000.0,0,219.01,0.0,100000.0
2021-10-21,100000.0,0,211.71,0.0,100000.0
2021-10-22,100000.0,0,212.71,0.0,100000.0
2021-10-25,100000.0,0,208.56,0.0,100000.0
2021-10-26,100000.0,0,208.17,0.0,100000.0
2021-10-27,100000.0,0,204.49,0.0,100000.0
2021-10-28,100000.0,0,202.35,0.0,100000.0
2021-10-29,100000.0,0,202.52,0.0,100000.0
2021-11-01,100000.0,0,200.43,0.0,100000.0
2021-11-02,100000.0,0,200.71,0.0,100000.0
2021-11-03,100000.0,0,206.72,0.0,100000.0
2021-11-04,100000.0,0,200.24,0.0,100000.0
2021-11-05,100000.0,0,202.23,0.0,100000.0
2021-11-08,100000.0,0,203.51,0.0,100000.0
2021-11-09,100000.0,0,219.94,0.0,100000.0
2021-11-10,100000.0,0,216.29,0.0,100000.0
2021-11-11,100000.0,0,215.11,0.0,100000.0
2021-11-12,100000.0,0,209.71,0.0,100000.0
