trade_id,buy_date,buy_price,buy_shares,buy_amount,buy_fee,sell_date,sell_price,sell_amount,sell_fee,profit,return_pct,holding_days,sell_reason
1,2022-07-05,103.3,800,82640.0,82.64,2022-07-06,99.78,79824.0,79.82,-2978.46,-3.6005,1,跌破MA20或MA20小于MA60
2,2022-07-29,99.48,800,79584.0,79.58,2022-08-02,94.98,75984.0,75.98,-3755.57,-4.7143,4,跌破MA20或MA20小于MA60
3,2022-09-05,103.33,800,82664.0,82.66,2022-09-27,104.62,83696.0,83.7,865.64,1.0461,22,跌破MA20或MA20小于MA60
4,2022-10-18,104.78,800,83824.0,83.82,2022-10-20,102.22,81776.0,81.78,-2213.6,-2.6381,2,跌破MA20或MA20小于MA60
5,2022-10-21,106.62,700,74634.0,74.63,2022-11-16,119.78,83846.0,83.85,9053.52,12.1184,26,跌破MA20或MA20小于MA60
6,2022-11-18,128.38,700,89866.0,89.87,2022-11-21,120.58,84406.0,84.41,-5634.27,-6.2634,3,跌破MA20或MA20小于MA60
7,2023-03-01,143.13,500,71565.0,71.56,2023-03-06,138.38,69190.0,69.19,-2515.76,-3.5118,5,跌破MA20或MA20小于MA60
8,2023-03-10,141.89,500,70945.0,70.95,2023-03-17,140.51,70255.0,70.25,-831.2,-1.1704,7,跌破MA20或MA20小于MA60
9,2023-03-20,143.28,500,71640.0,71.64,2023-03-21,132.58,66290.0,66.29,-5487.93,-7.6528,1,跌破MA20或MA20小于MA60
10,2023-03-29,145.76,500,72880.0,72.88,2023-04-14,140.58,70290.0,70.29,-2733.17,-3.7465,16,跌破MA20或MA20小于MA60
11,2024-11-06,67.27,1100,73997.0,74.0,2024-11-18,66.83,73513.0,73.51,-631.51,-0.8526,12,跌破MA20或MA20小于MA60
12,2024-12-12,65.31,1100,71841.0,71.84,2024-12-16,64.13,70543.0,70.54,-1440.38,-2.003,4,跌破MA20或MA20小于MA60
13,2025-03-19,112.32,600,67392.0,67.39,2025-03-20,107.36,64416.0,64.42,-3107.81,-4.6069,1,跌破MA20或MA20小于MA60
14,2025-08-14,105.51,600,63306.0,63.31,2025-08-15,102.04,61224.0,61.22,-2206.53,-3.482,1,跌破MA20或MA20小于MA60
15,2025-08-19,105.55,600,63330.0,63.33,2025-08-20,103.59,62154.0,62.15,-1301.48,-2.053,1,跌破MA20或MA20小于MA60
16,2025-08-25,119.28,500,59640.0,59.64,2025-09-05,113.04,56520.0,56.52,-3236.16,-5.4207,11,跌破MA20或MA20小于MA60
17,2025-09-12,119.89,500,59945.0,59.95,2025-09-22,118.89,59445.0,59.45,-619.39,-1.0322,10,跌破MA20或MA20小于MA60
18,2025-09-23,120.81,500,60405.0,60.41,2025-09-24,114.25,57125.0,57.12,-3397.53,-5.619,1,跌破MA20或MA20小于MA60
19,2025-09-25,120.09,500,60045.0,60.05,2025-09-29,118.39,59195.0,59.2,-969.24,-1.6126,4,跌破MA20或MA20小于MA60
20,2025-09-30,120.77,400,48308.0,48.31,2025-10-13,107.89,43156.0,43.16,-5243.46,-10.8434,13,跌破MA20或MA20小于MA60
21,2025-11-18,118.89,400,47556.0,47.56,2025-11-20,117.46,46984.0,46.98,-666.54,-1.4002,2,跌破MA20或MA20小于MA60
22,2026-02-13,151.57,300,45471.0,45.47,2026-02-24,143.77,43131.0,43.13,-2428.6,-5.3357,11,跌破MA20或MA20小于MA60
23,2026-06-03,116.29,400,46516.0,46.52,2026-06-04,115.87,46348.0,46.35,-260.86,-0.5602,1,跌破MA20或MA20小于MA60
